lID,road,neighborhood,npu
249,Cleveland Avenue Southeast,Rosedale Heights,Z
250,Linda Way Southwest,Westview,T
251,Marietta Street Northwest,Downtown,M
252,Sims Avenue Northwest,Grove Park,J
253,Dixie Avenue Northeast,Inman Park,N
254,Peachtree Street,Downtown,M
255,Melrose Drive Southwest,Sylvan Hills,X
256,Dunning Street Southeast,Peoplestown,V
257,Wylie Street Southeast,Cabbagetown,N
258,Pine Street Northeast,Old Fourth Ward,M
259,Vannoy Street Southeast,Edgewood,O
260,Cleveland Avenue Southwest,Hammond Park,X
261,Moton Avenue Southwest,Pittsburgh,V
262,West Wesley Road,Brandon,C
263,Barnett Street Northeast,Virginia Highland,F
264,Dodson Drive Southwest,Campbellton Road,R
265,Lakewood Avenue Southwest,Polar Rock,Z
266,Howell Drive Southwest,Adamsville,H
267,West Shadowlawn Avenue Northeast,Buckhead Forest,B
268,Ponce de Leon Place Northeast,Virginia Highland,F
269,Harlan Road Southwest,Harland Terrace,I
270,Beckwith Street Southwest,Ashview Heights,T
271,Piedmont Circle Northeast,Piedmont Heights,F
272,Abner Court Northwest,Carver Hills,G
273,Atlantic Drive Northwest,Atlantic Station,E
274,West Paces Ferry Road Northwest,Peachtree Heights West,B
275,Noble Creek Drive Northwest,Cross Creek,C
276,Sharon Street Northwest,Hunter Hills,K
277,Greenleaf Circle Southwest,Wildwood Forest,P
278,Kenmore Street Southwest,Cascade Avenue/Road,S
279,Browns Mill Road,Orchard Knob,Z
280,Cherry Blossom Drive Southwest,Meadowbrook Forest,P
281,Fair Street Southwest,Atlanta University Center,T
282,Howell Mill Road Northwest,Home Park,E
283,North Highland Avenue Northeast,Virginia Highland,F
284,Delano Drive Northeast,Kirkwood,O
285,St Charles Avenue Northeast,Virginia Highland,F
286,Metropolitan Parkway Southwest,Perkerson,X
287,Logan Lane Southwest,Campbellton Road,R
288,Moreland Avenue Southeast,East Atlanta,W
289,5th Street Northeast,Midtown,E
290,Andrew Young International Boulevard Northeast,Downtown,M
291,Glen Iris Drive Northeast,Old Fourth Ward,M
292,Thornton Street Southwest,Joyland,Y
293,Parsons Street Southwest,Atlanta University Center,T
294,Simpson Street Northwest,Downtown,M
295,Cascade Road,Adams Park,R
296,Hutchens Road Southeast,South River Gardens,Z
297,Ira Street Southwest,Pittsburgh,V
298,Atlanta BeltLine Eastside Trail,Midtown,E
299,Flat Shoals Avenue Southeast,Reynoldstown,N
300,Tazor Street Northwest,Bankhead,K
301,Grove Park Place Northwest,Grove Park,J
302,Cahaba Drive Southwest,Venetian Hills,S
303,Lois Lane Southeast,Browns Mill Park,Z
304,Fairfield Place Northwest,Dixie Hills,J
305,Edwin Street Northwest,Grove Park,J
306,Fairburn Road Southwest,Fairburn Mays,H
307,Cardova Drive Northeast,Lindridge/Martin Manor,F
308,Wieuca Road Northeast,North Buckhead,B
309,Meador Avenue Southeast,Lakewood Heights,Y
310,Pontiac Place Southeast,Custer/McDonough/Guice,W
311,Cone Street Northwest,Downtown,M
312,Marietta Boulevard Northwest,Knight Park/Howell Station,K
313,Sylvan Road,Sylvan Hills,X
314,Tarragon Way Southwest,Wilson Mill Meadows,H
315,Regina Drive Northwest,Center Hill,J
316,McWilliams Road,Lakewood,Z
317,Smith Street Southwest,Pittsburgh,V
318,Harwell Street Northwest,Washington Park,K
319,Forrest Hills Drive Southwest,Hammond Park,X
320,Howell Street Northeast,Old Fourth Ward,M
321,Mount Zion Road Southwest,Glenrose Heights,Z
322,Tiara Circle Southwest,Southwest,R
323,Hardee Circle Northeast,Edgewood,O
324,Osborne Street Southwest,Sylvan Hills,X
325,La France Street Northeast,Edgewood,O
326,Joseph E. Boone Boulevard Northwest,Center Hill,J
327,Ponce de Leon Avenue Northeast,Old Fourth Ward,M
328,Commerce Drive Northwest,Berkeley Park,D
329,Campbellton Road Southwest,Southwest,R
330,Winton Terrace Northeast,Old Fourth Ward,M
331,Martin Luther King Jr Drive Southwest,Vine City,L
332,Lee Street Southwest,West End,T
333,Redford Drive Southeast,Rebel Valley Forest,Z
334,Cheshire Bridge Road,Lindridge/Martin Manor,F
335,Martin Luther King Junior Drive Southwest,Harland Terrace,I
336,Reunion Place Southwest,Midwest Cascade,Q
337,Dogwood Drive Northwest,Collier Heights,I
338,Techwood Drive Northwest,Home Park,E
339,Degress Avenue Northeast,Inman Park,N
340,Pharr Road Northeast,Buckhead Village,B
341,Jernigan Drive Southeast,Lakewood,Z
342,Grand Avenue Southwest,Hammond Park,X
343,Cypress Street Northeast,Midtown,E
344,Ashby Grove Southwest,Ashview Heights,T
345,St James Drive Northwest,Carey Park,G
346,Lanier Street Northwest,Grove Park,J
347,Logan Lane Southwest,Adams Park,R
348,Westview Drive Southwest,Ashview Heights,T
349,Grant Street Southeast,Grant Park,W
350,Wildwood Park Th,Wildwood (NPU-H),H
351,Belgarde Place Southeast,Orchard Knob,Z
352,Oakland Lane Southwest,Oakland City,S
353,Montreat Avenue Southwest,Oakland City,S
354,Macon Drive Southwest,Swallow Circle/Baywood,Z
355,McDonough Boulevard Southeast,Chosewood Park,Y
356,Markone Street Northwest,Grove Park,J
357,Kingsboro Road Northeast,Buckhead Heights,B
358,North Avenue Northwest,Bankhead,K
359,Oakland Avenue Southeast,Grant Park,W
360,Bowen Circle Southwest,High Point,Y
361,Faulkner Road Northeast,Lindridge/Martin Manor,F
362,Muse Street Southwest,Westview,T
363,Lawton Avenue Southwest,Oakland City,S
364,Lakeside Drive Northeast,Buckhead Heights,B
365,Barnett Street Northeast,Poncey-Highland,N
366,Springdale Road Southwest,Perkerson,X
367,Ormewood Terrace Southeast,Ormewood Park,W
368,South Prado Northeast,Ansley Park,E
369,East Ontario Avenue Southwest,Westview,T
370,Green Street Northwest,Berkeley Park,D
371,Woodland Avenue Southeast,Ormewood Park,W
372,Bolton Place Northwest,Bolton,D
373,Stafford Street Northwest,Hunter Hills,K
374,Liberty Parkway Northwest,Bolton,D
375,Hendon Road Southeast,South River Gardens,Z
376,Southwood Circle Southwest,Ben Hill Terrace,P
377,Ryne Street Northwest,Center Hill,J
378,Harwell Place Northwest,Collier Heights,I
379,West Lake Court Northwest,West Lake,J
380,Lakeside Village Drive,The Villages at East Lake,O
381,Alyson Court,Glenrose Heights,Z
382,Bolton Road Northwest,Fairburn Heights,H
383,Clay Street Southeast,Kirkwood,O
384,Virginia Circle Northeast,Virginia Highland,F
385,Chattahoochee Avenue Northwest,Hills Park,D
386,Tiger Flowers Drive Northwest,Dixie Hills,J
387,Memorial Drive Southeast,Grant Park,W
388,Donald Lee Hollowell Parkway Northwest,Grove Park,J
389,West Peachtree Place Northwest,Downtown,M
390,Gilmer Street Southeast,Downtown,M
391,Joseph E. Lowery Boulevard,West End,T
392,Rosedale Road Northeast,Virginia Highland,F
393,Metropolis Alley,Midtown,E
394,Fisher Road Southeast,Custer/McDonough/Guice,W
395,Grant Cove Place Southeast,Grant Park,W
396,Ruby H Harper Boulevard,Blair Villa/Poole Creek,Z
397,Wyman Street Northeast,Kirkwood,O
398,Valley Brook Drive Northeast,North Buckhead,B
399,Tampa Trail Southwest,Tampa Park,P
400,Austin Avenue Northeast,Inman Park,N
401,Arlington Circle Northwest,Grove Park,J
402,Peeples Street Southwest,West End,T
403,Cunningham Place Southwest,Harris Chiles,T
404,Gould Street Southeast,Lakewood Heights,Y
405,Ralph McGill Boulevard Northeast,Old Fourth Ward,M
406,Abner Place Northwest,Carver Hills,G
407,Harper Road Southeast,Lakewood,Z
408,Kings Grant Drive Northwest,Collier Heights,I
409,Sunset Avenue Northwest,Vine City,L
410,Beverly Road Northeast,Ansley Park,E
411,Fort Street Northeast,Sweet Auburn,M
412,Phillips Drive Southeast,Thomasville Heights,Z
413,6th Street Northwest,Carey Park,G
414,Hogan Road Southwest,Ben Hill Forest,P
415,Northside Circle Northwest,Loring Heights,E
416,Moury Avenue Southwest,The Villages at Carver,Y
417,Moreland Avenue Northeast,Candler Park,N
418,Glenn Street Southwest,Mechanicsville,V
419,Willis Mill Road Southwest,Southwest,R
420,Walton Street Northwest,Downtown,M
421,Washington Heights Terrace Northwest,Washington Park,K
422,Monroe Drive Northeast,Piedmont Heights,F
423,Marietta Boulevard Northwest,Blandtown,D
424,Connell Avenue Southwest,Perkerson,X
425,Fairburn Road Southwest,Adamsville,H
426,McDonough Boulevard Southeast,South Atlanta,Y
427,Mary Dell Drive Southeast,East Atlanta,W
428,1st Avenue Northeast,Kirkwood,O
429,Merton Road Northeast,Morningside/Lenox Park,F
430,Nekoma Street Northwest,Grove Park,J
431,Bent Creek Way Southwest,Campbellton Road,R
432,Preston View Court,Browns Mill Park,Z
433,Ellis Street Northeast,Downtown,M
434,Oliver Street Northwest,English Avenue,L
435,Hank Aaron Drive Southwest,Peoplestown,V
436,Howell Terrace Southwest,Adamsville,H
437,Lindbergh Place Northeast,Lindbergh/Morosgo,B
438,Trinity Avenue Southwest,Castleberry Hill,M
439,Peachtree Road Northeast,North Buckhead,B
440,Lakewood Avenue Southeast,Lakewood Heights,Y
441,Cleveland Avenue Southwest,Perkerson,X
442,Browntown Road Northwest,Bolton Hills,G
443,Arthur Langford Junior Place SW,Joyland,Y
444,Chappell Road Northwest,Hunter Hills,K
445,Mitchell Street Southwest,Downtown,M
446,Auburn Avenue Northeast,Downtown,M
447,Jesse Hill Junior Drive Southeast,Downtown,M
448,Deckner Avenue Southwest,Capitol View Manor,X
449,Joseph E. Boone Boulevard Northwest,Washington Park,K
450,10th Street Northeast,Midtown,E
451,Queen Street Southwest,West End,T
452,Pryor Street,Peoplestown,V
453,English Avenue Northwest,English Avenue,L
454,Irwin Street Northeast,Old Fourth Ward,M
455,Aniwaka Avenue Southwest,Venetian Hills,S
456,Monroe Drive Northeast,Virginia Highland,F
457,Compton Drive Southeast,Lakewood Heights,Y
458,Roswell Road,East Chastain Park,B
459,17 1/2 Street,Atlantic Station,E
460,Peachtree Road,Peachtree Hills,B
461,Highland Avenue Northeast,Old Fourth Ward,M
462,Vine Street Northwest,English Avenue,L
463,Piedmont Road Northeast,North Buckhead,B
464,Etheridge Drive Northwest,Carey Park,G
465,Sells Avenue Southwest,Harris Chiles,T
466,Brady Avenue Northwest,Home Park,E
467,James P Brawley Drive Northwest,Vine City,L
468,Cologne Drive Southeast,Blair Villa/Poole Creek,Z
469,Barnes Street Northwest,Home Park,E
470,Spring Street Northwest,Midtown,E
471,West Marietta Street Northwest,English Avenue,L
472,Mount Gilead Road Southwest,Southwest,R
473,Linkwood Road Northwest,Collier Heights,I
474,Beecher Street Southwest,West End,T
475,Ridgeway Avenue Northwest,Underwood Hills,D
476,Campbellton Road Southwest,Adams Park,R
477,Lydia Drive Southeast,Browns Mill Park,Z
478,Springdale Road Southwest,Hammond Park,X
479,Whitefoord Avenue Southeast,Edgewood,O
480,McDonald Street Southeast,Grant Park,W
481,Jefferson Street Northwest,Knight Park/Howell Station,K
482,Boulevard Southeast,Sweet Auburn,M
483,Ralph David Abernathy Freeway,Penelope Neighbors,J
484,Howard Street Northeast,Kirkwood,O
485,Irwin Street Northeast,Sweet Auburn,M
486,Peachtree Road,Brookhaven,B
487,Piedmont Road Northeast,Morningside/Lenox Park,F
488,Hamden Forest Trail Southwest,Midwest Cascade,Q
489,Williams Street Northwest,Downtown,M
490,Westmont Road Southwest,Venetian Hills,S
491,Oakland Drive Southwest,Oakland City,S
492,Donald Lee Hollowell Parkway Northwest,Brookview Heights,G
493,Thompson Drive Northwest,Adamsville,H
494,Adkins Road Northwest,Carroll Heights,H
495,Charles Allen Drive Northeast,Midtown,E
496,Fulton Street Southwest,Mechanicsville,V
497,Prichard Way Northeast,Lenox,B
498,Barge Road Southwest,Briar Glen,P
499,Wellington Street Southwest,Westview,T
500,4th Street Northwest,Carey Park,G
501,Daniel Street Southeast,Old Fourth Ward,M
502,Alison Court Southwest,Fort Valley,R
503,Spencer Street Northwest,Vine City,L
504,Hollywood Road Northwest,Scotts Crossing,G
505,12th Street Northeast,Midtown,E
506,Fulton Terrace Southeast,Reynoldstown,N
507,Piedmont Road Northeast,Garden Hills,B
508,Benjamin E Mays Drive Southwest,Green Forest Acres,I
509,Wellbourne Drive Northeast,Morningside/Lenox Park,F
510,Murray Hill Avenue Northeast,Kirkwood,O
511,Collier Drive Northwest,Collier Heights,I
512,4th Street Northeast,Midtown,E
513,Abbey Drive,Princeton Lakes,P
514,Somerset Terrace Northeast,Poncey-Highland,N
515,Peeples Street Southwest,Harris Chiles,T
516,Stovall Street Southeast,Reynoldstown,N
517,Old Conley Road Southeast,South River Gardens,Z
518,Piedmont Road Northeast,Buckhead Village,B
519,Palmetto Avenue Southwest,Ashview Heights,T
520,Markham Street Southwest,Castleberry Hill,M
521,Peachtree Road,Peachtree Heights West,B
522,Angelo Court Northeast,Brookhaven,B
523,Chestnut Place Northwest,Vine City,L
524,Grant Terrace Southeast,Summerhill,V
525,Evans Street Southwest,West End,T
526,Nelson Street Southwest,Castleberry Hill,M
527,Milam Avenue Southwest,Perkerson,X
528,Andrew Young International Boulevard,Downtown,M
529,Clement Drive Southwest,Bakers Ferry,H
530,Harriet Street Southeast,South Atlanta,Y
531,Sunset Avenue Northwest,English Avenue,L
532,East Paces Ferry Road Northeast,Buckhead Heights,B
533,McDonough Boulevard Southeast,Custer/McDonough/Guice,W
534,Boulevard Southeast,Grant Park,W
535,Virginia Avenue Northeast,Virginia Highland,F
536,Peachtree Road,Buckhead Forest,B
537,Piedmont Avenue Northeast,Morningside/Lenox Park,F
538,Springdale Drive Northeast,Peachtree Hills,B
539,Peachtree Road,Peachtree Park,B
540,Athens Avenue Southwest,Capitol View,X
541,Turman Avenue Southeast,South Atlanta,Y
542,Pryor Road,Betmar LaVilla,Y
543,Gun Club Road Northwest,Grove Park,J
544,Renaissance Parkway Northeast,Old Fourth Ward,M
545,Humphries Drive Southeast,Orchard Knob,Z
546,Vesta Avenue Northwest,Dixie Hills,J
547,Bartram Street SE,Ormewood Park,W
548,Bolton Road,Chattahoochee,G
549,Adair Avenue Northeast,Virginia Highland,F
550,Blake Avenue Southeast,East Atlanta,W
551,Defoor Village Court,Underwood Hills,D
552,Rogers Avenue Southwest,Westwood Terrace,I
553,Northside Drive Northwest,Wyngate,C
554,Ponce de Leon Terrace Northeast,Virginia Highland,F
555,College Avenue Northeast,Kirkwood,O
556,Constitution Road Southeast,Norwood Manor,Z
557,Selwin Avenue Southwest,Oakland City,S
558,Bonnie Lane Southeast,South River Gardens,Z
559,Ezra Church Drive Northwest,West Lake,J
560,Booker Avenue Southwest,Pittsburgh,V
561,Sawtell Avenue Southeast,Lakewood Heights,Y
562,Clarendale Drive Northwest,Paces,A
563,Westwood Avenue Southwest,Westview,T
564,Mary George Avenue Northwest,Carver Hills,G
565,Brookdale Drive Southwest,Perkerson,X
566,New Town Circle Southeast,Thomasville Heights,Z
567,Park Avenue Southeast,South Atlanta,Y
568,Courtland Street Northeast,Downtown,M
569,Hightower Court Northwest,Collier Heights,I
570,Portland Avenue Southeast,Ormewood Park,W
571,Moreland Avenue Southeast,Woodland Hills,W
572,Camp Ground Road Southwest,Kings Forest,P
573,5th Street Northwest,Midtown,E
574,Pearl Street Southeast,Cabbagetown,N
575,Broad Street Plaza,Downtown,M
576,Donnelly Avenue Southwest,West End,T
577,Tift Avenue Southwest,Adair Park,V
578,Gammon Street Southeast,South Atlanta,Y
579,Fair Street Southwest,Ashview Heights,T
580,Valley Overlook Drive,Pine Hills,B
581,Founders Drive Southwest,Harris Chiles,T
582,Langston Drive Southwest,Perkerson,X
583,Sells Avenue Southwest,Ashview Heights,T
584,Sims Street Southwest,Pittsburgh,V
585,Eloise Court Southeast,Grant Park,W
586,Martin Luther King Junior Drive Southeast,Downtown,M
587,East Wesley Road,Garden Hills,B
588,Magnolia Street Northwest,Vine City,L
589,Bolton Drive Northwest,Bolton,D
590,New Jersey Avenue Northwest,Grove Park,J
591,Pasley Avenue Southeast,East Atlanta,W
592,10th Street Northwest,Midtown,E
593,James P Brawley Drive Northwest,English Avenue,L
594,Wimbledon Road Northeast,Piedmont Heights,F
595,Catherine Street Southwest,Adair Park,V
596,Jonesboro Road Southeast,Lakewood,Z
